"code","Nom vrac","marque","type vrac","Agitateur","Jupe","T°C jupe","Pompe","Etuve","T°C ambiante","Rincage Eko","Labo validation","Circuit Fermé Microbio","Circuit Fermé en Trémis","Microbio validation","Commentaire"
"VRE16111","creme jojoba nutrition fine","eba","H0","Nc","Oui","40","Nc","Oui","Nc",,"OUI","NON",,"OUI",
"VRE17011","Creme hydra cationic 17.9%","eba",,"Nc","Nc",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"VRE17111","Creme masque magistrale rejuve","eba","H0","Oui","Oui","40","Nc","Oui","Nc",,"OUI","NON",,"OUI",
"VRE17211","Creme magistrale matrilex 31%","eba","H0","Non","Oui","40","Non","Oui","Nc",,"OUI","NON",,"OUI",
"VRE18141","Creme intex nutrit ultra-riche","eba","H0","Non","Non",,"Non","Non","Oui",,"OUI","NON",,"OUI",
"VRE18161","creme royale nutrition ruche","eba","H0","Oui","Oui","40","Nc","OUI","Oui",,"OUI","NON",,"OUI",
"VRE18461","Creme nuit blanc de teint-F","eba","J0","Non","Non","40","Nc","Nc","Nc",,"OUI","OUI",,"OUI","agitateur + jupe = aération"
"VRE19101","Masque tomate eclat reparateur","eba","J0","Oui","Nc",,"Nc","Oui","Nc",,"OUI","OUI",,"OUI",
"VRE19321","Masque aux probiotiques","eba","J0","Oui","Oui",,"Nc","Oui","Nc",,"OUI","OUI",,"OUI",
"VRE20381","Lait tomate démaque","eba",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRE23221","Creme legere renovation eclat","eba",,"Oui","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRE22302","Creme micro comblante","eba",,"Oui","Nc",,"Oui","Nc","Nc",,"OUI","OUI",,"OUI",
"VRE16072","Creme redensifiante sublimatrice","eba",,"Oui","Oui","40","Nc","Oui","Nc",,"OUI","OUI",,"OUI",
"VRE24071","Creme hydra repulpante","eba",,"Oui","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"RT525002","Soin régénérant","tha","J0","Oui","Non",,"Nc","non","Oui",,"OUI","OUI",,"OUI",
"VRT12091","creme fondante indoceane","tha",,"Nc","Nc",,"Oui","Nc","Oui",,"OUI","OUI",,"OUI",
"VRT12321","Creme d'excellence anti age F","tha",,"Nc","Nc",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"VRT13062","Creme correction intense F","tha",,"Nc","Nc",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"VRT13081","Sculpteur ventre et taille","tha",,"Oui","Nc",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"VRT13092","Creme performance fermete","tha","H0","Oui","Oui","40","Nc","Oui","Nc",,"OUI","NON",,"OUI",
"VRT13171","Enlumineur de teint primer F","tha",,"Nc","Nc",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"VRT13183","Serum lumiere hydratant","tha",,"Nc","Nc",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"VRT13202","Creme hydra-lumiere 24H","tha","J0","Non","Non",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"VRT13212","Masque concentre d'hydratation","tha",,"Nc","Nc",,"Oui","Nc","Oui",,"OUI","OUI",,"OUI",
"VRT14442","Fond de teint anti age ambre","tha",,"Nc","Nc",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"VRT14452","Fond de teint anti age natur","tha",,"Nc","Nc",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"RT190002","Creme collagene","tha",,"Oui","Nc",,"Oui","Nc","Oui",,"OUI","OUI",,"OUI",
"RT190502","Concentre collagene","tha",,"Nc","Nc",,"Oui","Nc","Oui",,"OUI","OUI",,"OUI",
"RT191502","Creme hyaluronique","tha",,"Oui","Nc",,"Oui","Nc","Oui",,"OUI","OUI",,"OUI",
"RT192001","Traceur hyaluronique","tha",,"Oui","Nc",,"Oui","Nc","Oui",,"OUI","OUI",,"OUI",
"RT193001","Creme silicium","tha","J+1","Oui","Oui","40","Nc","Oui","Oui",,"OUI","OUI",,"OUI",
"RT286502","Fluide lumiere lissant F","tha",,"Nc","Nc",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"RT380202","Buste & decollete","tha",,"Non","Non",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"RT390502","Gel jambe legere","tha",,"Nc","Nc",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"RT421501","Creme lumiere auto-bronzante","tha",,"Nc","Nc",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"RT446501","Lait hydra-apaisant","tha",,"Nc","Nc",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"RT446001","Creme masque reparatrice","tha",,"Oui","Oui","35","Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"RT446001","Baume aprés rasage","tha",,"Nc","Nc",,"Nc","Nc","Oui",,"OUI",,,,"OUI"
"RT521002","Soin hydratant intense","tha",,"Nc","Nc",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"VRT15362","Gommage fraicheur","tha",,"Non","Oui","40","Oui","Nc","Oui",,"OUI","OUI",,"OUI",
"VRT16041","La creme prodige des oceans","tha","J0","Oui","Non",,"Oui discopompe","Non","Nc",,"OUI","OUI",,"OUI",
"VRT16201","Creme jour correction lift","tha",,"Nc","Nc",,"Oui","Nc","Oui",,"OUI","OUI",,"OUI",
"VRT16201","Serum liftant rides","tha",,"Nc","Nc",,"Oui","Nc","Nc",,"OUI",,,,"OUI"
"VRT16241","Creme correction lift regard","tha",,"Nc","Nc",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI",
"VRT16251","La creme corp prodige des oceans","tha",,"Oui","Nc",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI",
